category,doc_type,url
Company Formation & Governance,General Incorporation / AoA / MoA / Registers / UBO / Board Resolutions,https://www.adgm.com/registration-authority/registration-and-incorporation
Company Formation,Resolution for Incorporation (LTD - Multiple Shareholders),https://assets.adgm.com/download/assets/adgm-ra-resolution-multiple-incorporate-shareholders-LTD-incorporation-v2.docx/186a12846c3911efa4e6c6223862cd87
Company Formation & Compliance,Incorporation / SPV / LLC / Other Forms & Templates,https://www.adgm.com/setting-up
Policy & Guidance,Guidance / Templates / Policy Statements,https://www.adgm.com/legal-framework/guidance-and-policy-statements
ADGM Company Set-up,Checklist – Branch (Non-Financial Services),https://www.adgm.com/documents/registration-authority/registration-and-incorporation/checklist/branch-non-financial-services-20231228.pdf
ADGM Company Set-up,Checklist – Private Company Limited by Guarantee,https://www.adgm.com/documents/registration-authority/registration-and-incorporation/checklist/private-company-limited-by-guarantee-non-financial-services-20231228.pdf
Employment & HR,Standard Employment Contract Template (ER 2024),https://assets.adgm.com/download/assets/ADGM+Standard+Employment+Contract+Template+-+ER+2024+(Feb+2025).docx/ee14b252edbe11efa63b12b3a30e5e3a
Employment & HR,Standard Employment Contract Template (2019 short),https://assets.adgm.com/download/assets/ADGM+Standard+Employment+Contract+-+ER+2019+-+Short+Version+(May+2024).docx/33b57a92ecfe11ef97a536cc36767ef8
Data Protection,Appropriate Policy Document Template (DPR 2021),https://www.adgm.com/documents/office-of-data-protection/templates/adgm-dpr-2021-appropriate-policy-document.pdf
Compliance & Filings,Annual Accounts & Filings,https://www.adgm.com/operating-in-adgm/obligations-of-adgm-registered-entities/annual-filings/annual-accounts
Letters/Permits,Letters & Permits (post-registration services),https://www.adgm.com/operating-in-adgm/post-registration-services/letters-and-permits
Regulatory Guidance,Company Incorporation Package (Rulebook),https://en.adgm.thomsonreuters.com/rulebook/7-company-incorporation-package
Regulatory Template,Shareholder Resolution – Amendment of Articles (Template),https://assets.adgm.com/download/assets/Templates_SHReso_AmendmentArticles-v1-20220107.docx/97120d7c5af911efae4b1e183375c0b2?forcedownload=1
